simple-spread-chance,organizing-capacity,organizing-strategy,ba-m,peak time
0.01,1,high-degree-media,3,88.0
0.01,5,high-degree-media,3,46.0
0.01,5,neighbors-of-neighbors,3,17.0
0.01,5,neighbors-of-neighbors,10,69.66666666666667
0.01,10,high-degree-citizens,3,51.666666666666664
0.01,10,high-degree-citizens,10,47.0
0.01,10,high-degree-media,3,55.333333333333336
0.01,10,neighbors-of-neighbors,3,36.25
0.01,10,neighbors-of-neighbors,10,43.75
0.05,1,high-degree-cit-and-media,3,51.05263157894737
0.05,1,high-degree-cit-and-media,10,34.0
0.05,1,high-degree-citizens,3,56.588235294117645
0.05,1,high-degree-citizens,10,36.869565217391305
0.05,1,high-degree-media,3,60.78947368421053
0.05,1,high-degree-media,10,38.62068965517241
0.05,1,neighbors-of-neighbors,3,45.96551724137931
0.05,1,neighbors-of-neighbors,10,29.310344827586206
0.05,5,high-degree-cit-and-media,3,50.75
0.05,5,high-degree-cit-and-media,10,31.375
0.05,5,high-degree-citizens,3,40.81818181818182
0.05,5,high-degree-citizens,10,31.0
0.05,5,high-degree-media,3,52.21052631578947
0.05,5,high-degree-media,10,35.06896551724138
0.05,5,neighbors-of-neighbors,3,27.79310344827586
0.05,5,neighbors-of-neighbors,10,18.79310344827586
0.05,10,high-degree-cit-and-media,3,49.16
0.05,10,high-degree-cit-and-media,10,26.24
0.05,10,high-degree-citizens,3,38.76
0.05,10,high-degree-citizens,10,30.375
0.05,10,high-degree-media,3,46.074074074074076
0.05,10,high-degree-media,10,30.642857142857142
0.05,10,neighbors-of-neighbors,3,24.862068965517242
0.05,10,neighbors-of-neighbors,10,14.551724137931034
0.1,1,high-degree-cit-and-media,3,38.416666666666664
0.1,1,high-degree-cit-and-media,10,21.4
0.1,1,high-degree-citizens,3,38.32
0.1,1,high-degree-citizens,10,16.916666666666668
0.1,1,high-degree-media,3,51.5
0.1,1,high-degree-media,10,22.833333333333332
0.1,1,neighbors-of-neighbors,3,30.48
0.1,1,neighbors-of-neighbors,10,14.6
0.1,5,high-degree-cit-and-media,3,31.2
0.1,5,high-degree-cit-and-media,10,19.8
0.1,5,high-degree-citizens,3,31.92
0.1,5,high-degree-citizens,10,18.56
0.1,5,high-degree-media,3,38.88
0.1,5,high-degree-media,10,24.36
0.1,5,neighbors-of-neighbors,3,16.2
0.1,5,neighbors-of-neighbors,10,13.08
0.1,10,high-degree-cit-and-media,3,29.0
0.1,10,high-degree-cit-and-media,10,20.8
0.1,10,high-degree-citizens,3,18.64
0.1,10,high-degree-citizens,10,18.56
0.1,10,high-degree-media,3,32.16
0.1,10,high-degree-media,10,23.68
0.1,10,neighbors-of-neighbors,3,14.68
0.1,10,neighbors-of-neighbors,10,8.52
0.25,1,high-degree-cit-and-media,3,16.48
0.25,1,high-degree-cit-and-media,10,10.24
0.25,1,high-degree-citizens,3,18.76
0.25,1,high-degree-citizens,10,10.32
0.25,1,high-degree-media,3,21.28
0.25,1,high-degree-media,10,10.92
0.25,1,neighbors-of-neighbors,3,15.0
0.25,1,neighbors-of-neighbors,10,9.0
0.25,5,high-degree-cit-and-media,3,17.16
0.25,5,high-degree-cit-and-media,10,9.08
0.25,5,high-degree-citizens,3,17.32
0.25,5,high-degree-citizens,10,9.8
0.25,5,high-degree-media,3,14.52
0.25,5,high-degree-media,10,9.32
0.25,5,neighbors-of-neighbors,3,10.52
0.25,5,neighbors-of-neighbors,10,6.64
0.25,10,high-degree-cit-and-media,3,17.2
0.25,10,high-degree-cit-and-media,10,7.8
0.25,10,high-degree-citizens,3,12.32
0.25,10,high-degree-citizens,10,8.48
0.25,10,high-degree-media,3,17.92
0.25,10,high-degree-media,10,9.84
0.25,10,neighbors-of-neighbors,3,7.56
0.25,10,neighbors-of-neighbors,10,5.84
0.5,1,high-degree-cit-and-media,3,9.96
