simple-spread-chance,organizing-capacity,organizing-strategy,ba-m,peak time
0.01,1,high-degree-media,3,1
0.01,5,high-degree-media,3,1
0.01,5,neighbors-of-neighbors,3,1
0.01,5,neighbors-of-neighbors,10,3
0.01,10,high-degree-citizens,3,3
0.01,10,high-degree-citizens,10,2
0.01,10,high-degree-media,3,3
0.01,10,neighbors-of-neighbors,3,4
0.01,10,neighbors-of-neighbors,10,4
0.05,1,high-degree-cit-and-media,3,19
0.05,1,high-degree-cit-and-media,10,22
0.05,1,high-degree-citizens,3,17
0.05,1,high-degree-citizens,10,23
0.05,1,high-degree-media,3,19
0.05,1,high-degree-media,10,29
0.05,1,neighbors-of-neighbors,3,29
0.05,1,neighbors-of-neighbors,10,29
0.05,5,high-degree-cit-and-media,3,20
0.05,5,high-degree-cit-and-media,10,24
0.05,5,high-degree-citizens,3,22
0.05,5,high-degree-citizens,10,23
0.05,5,high-degree-media,3,19
0.05,5,high-degree-media,10,29
0.05,5,neighbors-of-neighbors,3,29
0.05,5,neighbors-of-neighbors,10,29
0.05,10,high-degree-cit-and-media,3,25
0.05,10,high-degree-cit-and-media,10,25
0.05,10,high-degree-citizens,3,25
0.05,10,high-degree-citizens,10,24
0.05,10,high-degree-media,3,27
0.05,10,high-degree-media,10,28
0.05,10,neighbors-of-neighbors,3,29
0.05,10,neighbors-of-neighbors,10,29
0.1,1,high-degree-cit-and-media,3,24
0.1,1,high-degree-cit-and-media,10,25
0.1,1,high-degree-citizens,3,25
0.1,1,high-degree-citizens,10,24
0.1,1,high-degree-media,3,24
0.1,1,high-degree-media,10,24
0.1,1,neighbors-of-neighbors,3,25
0.1,1,neighbors-of-neighbors,10,25
0.1,5,high-degree-cit-and-media,3,25
0.1,5,high-degree-cit-and-media,10,25
0.1,5,high-degree-citizens,3,25
0.1,5,high-degree-citizens,10,25
0.1,5,high-degree-media,3,25
0.1,5,high-degree-media,10,25
0.1,5,neighbors-of-neighbors,3,25
0.1,5,neighbors-of-neighbors,10,25
0.1,10,high-degree-cit-and-media,3,25
0.1,10,high-degree-cit-and-media,10,25
0.1,10,high-degree-citizens,3,25
0.1,10,high-degree-citizens,10,25
0.1,10,high-degree-media,3,25
0.1,10,high-degree-media,10,25
0.1,10,neighbors-of-neighbors,3,25
0.1,10,neighbors-of-neighbors,10,25
0.25,1,high-degree-cit-and-media,3,25
0.25,1,high-degree-cit-and-media,10,25
0.25,1,high-degree-citizens,3,25
0.25,1,high-degree-citizens,10,25
0.25,1,high-degree-media,3,25
0.25,1,high-degree-media,10,25
0.25,1,neighbors-of-neighbors,3,25
0.25,1,neighbors-of-neighbors,10,25
0.25,5,high-degree-cit-and-media,3,25
0.25,5,high-degree-cit-and-media,10,25
0.25,5,high-degree-citizens,3,25
0.25,5,high-degree-citizens,10,25
0.25,5,high-degree-media,3,25
0.25,5,high-degree-media,10,25
0.25,5,neighbors-of-neighbors,3,25
0.25,5,neighbors-of-neighbors,10,25
0.25,10,high-degree-cit-and-media,3,25
0.25,10,high-degree-cit-and-media,10,25
0.25,10,high-degree-citizens,3,25
0.25,10,high-degree-citizens,10,25
0.25,10,high-degree-media,3,25
0.25,10,high-degree-media,10,25
0.25,10,neighbors-of-neighbors,3,25
0.25,10,neighbors-of-neighbors,10,25
0.5,1,high-degree-cit-and-media,3,25
0.5,1,high-degree-cit-and-media,10,25
0.5,1,high-degree-citizens,3,25
0.5,1,high-degree-citizens,10,25
0.5,1,high-degree-media,3,25
0.5,1,high-degree-media,10,25
0.5,1,neighbors-of-neighbors,3,25
0.5,1,neighbors-of-neighbors,10,25
0.5,5,high-degree-cit-and-media,3,25
0.5,5,high-degree-cit-and-media,10,25
0.5,5,high-degree-citizens,3,25
0.5,5,high-degree-citizens,10,25
0.5,5,high-degree-media,3,25
0.5,5,high-degree-media,10,25
0.5,5,neighbors-of-neighbors,3,25
0.5,5,neighbors-of-neighbors,10,25
0.5,10,high-degree-cit-and-media,3,25
0.5,10,high-degree-cit-and-media,10,25
0.5,10,high-degree-citizens,3,25
0.5,10,high-degree-citizens,10,25
0.5,10,high-degree-media,3,25
0.5,10,high-degree-media,10,25
0.5,10,neighbors-of-neighbors,3,25
0.5,10,neighbors-of-neighbors,10,25
0.75,1,high-degree-cit-and-media,3,25
0.75,1,high-degree-cit-and-media,10,25
0.75,1,high-degree-citizens,3,25
0.75,1,high-degree-citizens,10,25
0.75,1,high-degree-media,3,25
0.75,1,high-degree-media,10,25
0.75,1,neighbors-of-neighbors,3,25
0.75,1,neighbors-of-neighbors,10,25
0.75,5,high-degree-cit-and-media,3,25
0.75,5,high-degree-cit-and-media,10,25
0.75,5,high-degree-citizens,3,25
0.75,5,high-degree-citizens,10,25
0.75,5,high-degree-media,3,25
0.75,5,high-degree-media,10,25
0.75,5,neighbors-of-neighbors,3,25
0.75,5,neighbors-of-neighbors,10,25
0.75,10,high-degree-cit-and-media,3,25
0.75,10,high-degree-cit-and-media,10,25
0.75,10,high-degree-citizens,3,25
0.75,10,high-degree-citizens,10,25
0.75,10,high-degree-media,3,25
0.75,10,high-degree-media,10,25
0.75,10,neighbors-of-neighbors,3,25
0.75,10,neighbors-of-neighbors,10,25
