simple-spread-chance,citizen-media-influence,citizen-citizen-influence,ba-m,peak time
0.01,0.01,0.75,10,1
0.01,0.05,0.75,10,1
0.01,0.1,0.75,10,2
0.01,0.25,0.75,3,1
0.01,0.25,0.75,10,4
0.01,0.5,0.75,3,2
0.01,0.5,0.75,10,14
0.01,0.75,0.75,3,1
0.01,0.75,0.75,10,15
0.05,0.01,0.25,3,1
0.05,0.01,0.25,10,22
0.05,0.01,0.5,3,20
0.05,0.01,0.5,10,23
0.05,0.01,0.75,3,22
0.05,0.01,0.75,10,23
0.05,0.05,0.05,10,1
0.05,0.05,0.1,3,1
0.05,0.05,0.1,10,4
0.05,0.05,0.25,3,12
0.05,0.05,0.25,10,21
0.05,0.05,0.5,3,23
0.05,0.05,0.5,10,25
0.05,0.05,0.75,3,24
0.05,0.05,0.75,10,24
0.05,0.1,0.01,10,3
0.05,0.1,0.05,3,2
0.05,0.1,0.05,10,5
0.05,0.1,0.1,3,7
0.05,0.1,0.1,10,17
0.05,0.1,0.25,3,14
0.05,0.1,0.25,10,23
0.05,0.1,0.5,3,25
0.05,0.1,0.5,10,24
0.05,0.1,0.75,3,25
0.05,0.1,0.75,10,25
0.05,0.25,0.01,3,1
0.05,0.25,0.01,10,1
0.05,0.25,0.05,3,11
0.05,0.25,0.05,10,20
0.05,0.25,0.1,3,20
0.05,0.25,0.1,10,24
0.05,0.25,0.25,3,24
0.05,0.25,0.25,10,23
0.05,0.25,0.5,3,25
0.05,0.25,0.5,10,25
0.05,0.25,0.75,3,25
0.05,0.25,0.75,10,25
0.05,0.5,0.01,3,11
0.05,0.5,0.01,10,16
0.05,0.5,0.05,3,22
0.05,0.5,0.05,10,25
0.05,0.5,0.1,3,24
0.05,0.5,0.1,10,24
0.05,0.5,0.25,3,25
0.05,0.5,0.25,10,25
0.05,0.5,0.5,3,25
0.05,0.5,0.5,10,25
0.05,0.5,0.75,3,25
0.05,0.5,0.75,10,25
0.05,0.75,0.01,3,7
0.05,0.75,0.01,10,20
0.05,0.75,0.05,3,24
0.05,0.75,0.05,10,25
0.05,0.75,0.1,3,25
0.05,0.75,0.1,10,25
0.05,0.75,0.25,3,25
0.05,0.75,0.25,10,25
0.05,0.75,0.5,3,25
0.05,0.75,0.5,10,25
0.05,0.75,0.75,3,25
0.05,0.75,0.75,10,25
0.1,0.01,0.05,10,1
0.1,0.01,0.1,3,1
0.1,0.01,0.1,10,19
